year_range,event,category,region,description,,,,,,,,,,,,,
1930s,Outbreak of World War II,Military,Global,"Germany invades Poland on 1 September 1939; Britain and France declare war on Germany on 3 September 1939, starting WWII",,,,,,,,,,,,,
1940s,Battle of Britain,Military,UK,"1940: RAF defeats Luftwaffe in air campaign, preventing German invasion of Britain",,,,,,,,,,,,,
1940s,Blitz bombing of UK cities,Military,UK,"1940-1941: Sustained German Luftwaffe bombing of London and other cities, causing widespread destruction and civilian deaths",,,,,,,,,,,,,
1940s,Fall of France,Military,Europe,1940: Nazi Germany invades and occupies France; Vichy regime established,,,,,,,,,,,,,
1940s,Pearl Harbor attack,Military,Global,"1941: Japan attacks US naval base, bringing USA into WWII",,,,,,,,,,,,,
1940s,Holocaust intensifies,Political/Social,Europe/Global,1941-1945: Systematic Nazi genocide of 6 million Jews and millions of others in concentration camps,,,,,,,,,,,,,
1940s,D-Day landings,Military,UK/Global,Normandy landings on 6 June 1944; Allied invasion of Nazi-occupied Western Europe,,,,,,,,,,,,,
1940s,End of World War II in Europe,Military,Global,1945: Germany surrenders in May (VE Day); atomic bombs on Japan lead to surrender in September (VJ Day),,,,,,,,,,,,,
1940s,NHS founded,Healthcare,UK,"National Health Service established in 1948, providing free healthcare to all",,,,,,,,,,,,,
1940s,Indian Independence,Political,Global,"1947: India gains independence from Britain, end of British Empire in subcontinent",,,,,,,,,,,,,
1950s,Coronation of Elizabeth II,Royal,UK,"Queen Elizabeth II crowned in 1953, televised event watched by millions",,,,,,,,,,,,,
1950s,Suez Crisis,Political,UK/Global,"1956: UK, France, and Israel invade Egypt over canal nationalization; major blow to UK global influence",,,,,,,,,,,,,
1950s,First commercial TV in UK,Media,UK,"ITV begins broadcasting in 1955, expanding television access",,,,,,,,,,,,,
1950s,Treaty of Rome,Political,Europe,1957: Founding of European Economic Community (predecessor to EU) by six nations,,,,,,,,,,,,,
1950s,Hungarian Revolution,Political,Europe,1956: Uprising against Soviet control crushed by Red Army,,,,,,,,,,,,,
1960s,Man on the moon,Science,Global,Apollo 11 moon landing in 1969; first humans walk on Moon,,,,,,,,,,,,,
